case_key,storm_id,aggregation,sample_count,mean_error_km,fde_6h_km,fde_12h_km,fde_18h_km,fde_24h_km,fde_30h_km,fde_36h_km,fde_42h_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
2019050N05163::forecast_start=48,2019050N05163,oracle_per_lead_min,20,45.99,27.414,73.741,45.991,1.001,4.54,32.62,56.898,12.016,41.015,95.401,77.618,83.62
2019195N13136::forecast_start=41,2019195N13136,oracle_per_lead_min,20,131.399,8.944,50.038,60.461,41.017,87.981,106.091,147.175,156.202,161.189,246.518,252.541,258.634
2019205N23137::forecast_start=22,2019205N23137,oracle_per_lead_min,20,176.566,39.279,14.626,31.975,95.546,120.773,126.535,110.164,147.375,212.314,268.388,398.85,552.968
2019210N16117::forecast_start=37,2019210N16117,oracle_per_lead_min,20,72.382,17.888,48.757,40.473,22.8,47.862,44.36,87.88,79.603,42.192,75.588,192.975,168.202
2019213N17155::forecast_start=44,2019213N17155,oracle_per_lead_min,20,158.115,23.666,79.248,83.785,108.854,95.998,119.848,121.042,56.727,37.235,134.047,331.889,705.039
2019214N15134::forecast_start=49,2019214N15134,oracle_per_lead_min,20,30.097,12.37,21.512,16.99,3.923,6.602,19.192,32.712,8.822,19.567,17.328,80.514,121.634
2019216N16147::forecast_start=52,2019216N16147,oracle_per_lead_min,20,37.04,24.69,41.349,14.355,6.049,7.331,30.68,32.084,20.868,22.462,48.602,60.303,135.711
2019231N13135::forecast_start=35,2019231N13135,oracle_per_lead_min,20,184.817,11.193,17.516,39.104,51.687,108.871,160.576,143.849,206.391,280.088,334.329,394.534,469.668
2019236N08143::forecast_start=31,2019236N08143,oracle_per_lead_min,20,134.218,8.731,43.507,45.717,69.821,52.733,13.782,106.608,129.705,93.167,260.843,369.54,416.465
2019242N18126::forecast_start=38,2019242N18126,oracle_per_lead_min,20,95.003,83.563,186.656,110.977,87.06,122.344,75.102,43.659,16.554,47.077,114.857,150.076,102.111
2019255N09162::forecast_start=17,2019255N09162,oracle_per_lead_min,20,385.387,23.075,63.478,75.141,124.201,150.951,242.202,364.967,525.824,620.931,733.435,823.563,876.881
2019260N20129::forecast_start=29,2019260N20129,oracle_per_lead_min,20,185.018,83.736,162.014,176.543,169.542,168.419,197.138,230.755,178.358,107.046,237.186,289.973,219.505
2019268N10155::forecast_start=45,2019268N10155,oracle_per_lead_min,20,115.699,38.589,136.403,182.711,183.723,176.201,188.683,147.043,120.635,96.196,68.603,15.867,33.74
2019288N16136::forecast_start=33,2019288N16136,oracle_per_lead_min,20,519.173,1.72,31.036,98.229,225.925,378.309,429.665,535.896,741.387,962.278,1010.56,969.321,845.749
2019290N08169::forecast_start=39,2019290N08169,oracle_per_lead_min,20,240.935,37.904,50.463,91.323,116.694,138.274,168.37,223.546,287.612,369.766,435.458,484.147,487.663
2019306N10162::forecast_start=39,2019306N10162,oracle_per_lead_min,20,97.933,14.633,38.183,55.637,90.635,116.843,140.428,110.554,46.149,51.409,39.765,161.423,309.534
2019308N13114::forecast_start=35,2019308N13114,oracle_per_lead_min,20,188.342,32.578,75.023,51.104,139.088,130.212,227.154,291.735,256.761,282.609,211.025,210.682,352.135
2019314N12172::forecast_start=39,2019314N12172,oracle_per_lead_min,20,603.237,34.358,79.201,123.814,173.68,277.794,358.181,468.697,701.026,1016.352,1245.083,1368.38,1392.276
2019314N14136::forecast_start=50,2019314N14136,oracle_per_lead_min,20,115.514,36.902,55.891,52.755,78.803,68.062,88.294,122.02,122.719,230.798,194.388,163.695,171.838
2019322N11144::forecast_start=36,2019322N11144,oracle_per_lead_min,20,269.405,45.602,100.064,89.814,38.61,84.398,209.827,440.101,581.259,485.006,326.515,380.069,451.598
2019329N09160::forecast_start=48,2019329N09160,oracle_per_lead_min,20,90.163,23.237,53.721,72.621,72.085,72.36,101.619,110.352,91.059,58.129,46.69,112.758,267.328
2019354N05151::forecast_start=42,2019354N05151,oracle_per_lead_min,20,122.794,24.443,43.773,16.093,22.4,53.991,30.412,59.748,130.263,224.066,322.207,301.382,244.749
2020129N07134::forecast_start=43,2020129N07134,oracle_per_lead_min,20,147.055,6.786,41.932,36.266,23.711,22.276,61.124,85.329,165.751,243.461,350.151,381.665,346.207
2020160N10133::forecast_start=29,2020160N10133,oracle_per_lead_min,20,106.631,40.433,40.152,40.551,30.297,50.825,56.968,85.578,117.9,137.126,170.548,195.049,314.141
2020211N14124::forecast_start=17,2020211N14124,oracle_per_lead_min,20,112.867,17.121,20.115,14.5,8.475,78.442,112.653,115.681,122.452,95.505,157.412,263.902,348.151
2020220N14128::forecast_start=37,2020220N14128,oracle_per_lead_min,20,390.002,197.263,321.919,334.023,257.765,189.182,226.729,304.016,351.803,344.818,475.133,701.683,975.693
2020229N18123::forecast_start=23,2020229N18123,oracle_per_lead_min,20,121.341,15.39,41.319,56.566,90.159,122.287,149.023,193.014,200.303,128.79,140.656,142.1,176.49
2020234N19123::forecast_start=40,2020234N19123,oracle_per_lead_min,20,221.228,3.833,18.059,20.145,67.07,165.647,283.028,426.115,491.666,416.11,300.219,270.748,192.094
2020239N13134::forecast_start=48,2020239N13134,oracle_per_lead_min,20,372.822,2.787,23.623,88.504,121.613,107.041,53.291,96.75,298.296,551.878,851.024,1090.917,1188.134
2020244N25146::forecast_start=45,2020244N25146,oracle_per_lead_min,20,351.584,1.643,3.774,43.903,83.684,142.322,179.379,283.482,453.176,658.871,713.478,835.099,820.203
2020258N11127::forecast_start=17,2020258N11127,oracle_per_lead_min,20,375.62,16.263,25.338,49.453,60.194,126.869,202.095,281.544,421.106,636.35,733.984,877.623,1076.622
2020263N21136::forecast_start=44,2020263N21136,oracle_per_lead_min,20,547.1,88.454,155.864,194.822,379.586,498.825,629.297,701.675,683.988,754.213,794.43,795.775,888.276
2020277N21141::forecast_start=59,2020277N21141,oracle_per_lead_min,20,236.249,54.303,72.192,10.499,163.813,239.496,112.666,91.091,280.065,241.175,392.941,537.382,639.369
2020281N14126::forecast_start=21,2020281N14126,oracle_per_lead_min,20,89.077,36.88,39.38,35.517,50.372,17.035,91.997,142.356,155.504,149.679,111.748,71.08,167.371
2020291N06141::forecast_start=42,2020291N06141,oracle_per_lead_min,20,136.184,9.244,8.456,25.416,111.294,76.702,7.35,23.529,89.803,129.242,217.512,332.24,603.423
2020296N09137::forecast_start=36,2020296N09137,oracle_per_lead_min,20,75.562,21.825,43.355,76.227,97.192,102.037,94.733,79.099,45.151,15.535,18.876,81.029,231.684
2020299N11144::forecast_start=48,2020299N11144,oracle_per_lead_min,20,121.355,59.481,86.533,74.579,116.635,111.262,88.722,74.944,130.094,226.235,270.144,197.473,20.165
2020303N05149::forecast_start=42,2020303N05149,oracle_per_lead_min,20,196.154,3.411,7.826,11.051,16.105,26.583,43.357,100.418,206.48,331.225,467.362,489.018,651.008
2020313N08135::forecast_start=38,2020313N08135,oracle_per_lead_min,20,31.618,2.307,7.177,6.148,5.964,14.967,20.698,14.064,39.674,51.711,35.632,70.766,110.313
2021046N06142::forecast_start=39,2021046N06142,oracle_per_lead_min,20,320.667,94.96,237.094,327.491,366.69,416.794,329.283,280.737,323.431,368.424,444.868,371.933,286.296
2021148N05142::forecast_start=40,2021148N05142,oracle_per_lead_min,20,366.817,8.835,53.839,102.384,201.881,284.058,277.6,305.55,403.718,586.956,739.603,740.564,696.811
2021171N09152::forecast_start=40,2021171N09152,oracle_per_lead_min,20,95.733,25.868,53.893,47.225,27.615,36.299,47.041,60.595,67.61,92.68,143.967,231.016,314.981
2021197N17135::forecast_start=57,2021197N17135,oracle_per_lead_min,20,110.1,24.478,22.941,44.535,119.082,146.031,137.967,151.169,144.62,230.38,185.85,57.381,56.767
2021198N19117::forecast_start=37,2021198N19117,oracle_per_lead_min,20,175.075,25.902,51.153,55.647,51.437,22.074,169.513,285.504,260.312,168.186,174.936,356.826,479.416
2021204N21146::forecast_start=40,2021204N21146,oracle_per_lead_min,20,127.273,33.895,74.58,101.277,142.153,199.957,219.416,255.708,193.114,113.802,22.716,32.795,137.863
2021214N21110::forecast_start=53,2021214N21110,oracle_per_lead_min,20,239.931,61.497,65.989,23.953,8.486,11.29,117.072,217.646,302.54,408.341,517.881,564.401,580.081
2021215N24124::forecast_start=37,2021215N24124,oracle_per_lead_min,20,407.829,52.569,89.292,134.852,200.514,225.664,285.471,357.533,425.08,513.638,681.054,875.307,1052.972
2021216N22144::forecast_start=17,2021216N22144,oracle_per_lead_min,20,476.887,17.818,43.338,132.35,258.698,363.909,507.878,546.54,629.313,755.229,799.305,832.554,835.717
2021248N11131::forecast_start=39,2021248N11131,oracle_per_lead_min,20,95.782,21.804,29.976,19.189,44.403,56.825,9.711,34.861,59.078,174.447,341.987,298.634,58.468
2021248N12141::forecast_start=55,2021248N12141,oracle_per_lead_min,20,195.428,49.32,38.849,21.697,17.664,65.923,1.928,40.416,111.72,285.483,442.747,590.73,678.656
2021276N07131::forecast_start=37,2021276N07131,oracle_per_lead_min,20,97.863,17.257,38.154,8.513,89.722,95.058,117.389,125.781,87.764,94.554,96.781,107.25,296.136
2021280N14137::forecast_start=36,2021280N14137,oracle_per_lead_min,20,153.521,13.438,21.705,28.226,55.997,77.746,120.104,191.249,267.678,279.613,259.682,234.246,292.574
2021333N11146::forecast_start=27,2021333N11146,oracle_per_lead_min,20,404.018,2.429,3.258,69.533,134.936,214.045,341.901,444.231,602.894,743.483,775.239,772.42,743.845
2021346N05145::forecast_start=43,2021346N05145,oracle_per_lead_min,20,57.563,19.498,30.89,22.848,26.949,1.58,22.418,13.506,35.329,87.029,162.743,179.624,88.345
